Id,Label,Type,Full_Text
Paper_20,Background Several randomized trials have compared...,Paper,"Background Several randomized trials have compared the patency of coronary artery bypass conduits. All of the published studies, however, have performed pairwise comparisons and a comprehensive evaluation of the patency rates of all conduits has yet to be published. We set out to investigate the angiographic patency rates of all conduits used in coronary bypass surgery by performing a network meta‐analysis of the current available randomized evidence. Methods and Results A systematic literature search was conducted for randomized controlled trials comparing the angiographic patency rate of the conventionally harvested saphenous vein, the no‐touch saphenous vein, the radial artery (RA), the right internal thoracic artery, or the gastroepiploic artery. The primary outcome was graft occlusion. A total of 4160 studies were retrieved of which 14 were included with 3651 grafts analyzed. The weighted mean angiographic follow‐up was 5.1 years. Compared with the conventionally harvested saphenous vein, both the RA (incidence rate ratio [IRR] 0.54; 95% CI, 0.35–0.82) and the no‐touch saphenous vein (IRR 0.55; 95% CI, 0.39–0.78) were associated with lower graft occlusion. The RA ranked as the best conduit (rank score for RA 0.87 versus 0.85 for no‐touch saphenous vein, 0.23 for right internal thoracic artery, 0.29 for gastroepiploic artery, and 0.25 for the conventionally harvested saphenous vein). Conclusions Compared with the conventionally harvested saphenous vein, only the RA and no‐touch saphenous vein grafts are associated with significantly lower graft occlusion rates. The RA ranks as the best conduit. Registration URL: https://www.crd.york.ac.uk/prospero ; Unique identifier: CRD42020164492."
Paper_21,Identifying technology convergence is getting hard...,Paper,"Identifying technology convergence is getting harder, especially in fast-evolving and cross-technological fields. On the other side, natural language processing and network analysis researchers is to provide a novel method for mapping technologies and their relations over time, in order to identify dynamic patterns of convergence and to test it on the C4ISTAR field, a defense-related cross-technological field. The methodology automatically extracts technologies from a corpus of scientific papers, policy documents, websites, and company reports using Named Entity Recognition approaches. These technologies are then retrieved from the second corpus of more than 300 thousand patents related to the C4ISTAR domain, measuring their cooccurrences over time. Finally, using the time-varying network analysis, we were able to identify and measure the pattern of technological convergence."
Paper_22,Patent Citation Analysis has been gaining consider...,Paper,"Patent Citation Analysis has been gaining considerable traction over the past few decades. In this paper, we collect extensive information on patents and citations and provide a perspective of citation network analysis of patents from a statistical viewpoint. We identify and analyze the most cited patents, the most innovative and the highly cited companies along with the structural properties of the network by providing in-depth descriptive analysis. Furthermore, we employ Exponential Random Graph Models (ERGMs) to analyze the citation networks. ERGMs enables understanding the social perspectives of a patent citation network which has not been studied earlier. We demonstrate that social properties such as homophily (the inclination to cite patents from the same country or in the same language) and transitivity (the inclination to cite references’ references) together with the technicalities of the patents ( e.g., language, categories), has a significant effect on citations. We also provide an in-depth analysis of citations for sectors in patents and how it is affected by the size of the same. Overall, our paper delves into European patents with the aim of providing new insights and serves as an account for fitting ERGMs on large networks and analyzing them. ERGMs help us model network mechanisms directly, instead of acting as a proxy for unspecified dependence and relationships among the observations."
Paper_23,The Internet of Things (IoT) makes the world aroun...,Paper,"The Internet of Things (IoT) makes the world around us more intelligent and more responsive by developing cyber–physical systems. The IoT is about to change how we live and how we work. It is essential to have a perspective on this technology's innovation path to creating more novel applications. Due to increasing Internet connectivity through smartphones, IoT is expected to be an all-pervasive technology, and lately, its patents have grown significantly. Patents contain valuable information, especially including the path of utilizing IoT in different fields. Patent analysis provides valuable information about innovation in IoT technology. This article performs a patent analysis based on the international patent classification (IPC) co-occurrence network in different patents. This network is analyzed by social network analysis (SNA) algorithms. In addition, the most critical nodes are identified by SNA measures and the TOPSIS method. The findings illustrate the structure of the innovation path of IoT, and they will help create more applications and combinations of IoT with other fields. These results provide a guideline that shows how steps for innovation should start."
Paper_24,A patent is an important document issued by the go...,Paper,"A patent is an important document issued by the government to protect inventions or product design. Inventions consist of mechanical structures, production processes, quality improvements of products, and so on. Generally, goods or appliances in everyday life are a result of an invention or product design that has been published in patent documents. A new invention contributes to the standard of living, improves productivity and quality, reduces production costs for industry, or delivers products with higher added value. Patent documents are considered to be excellent sources of knowledge in a particular field of technology, leading to inventions. Technology trend forecasting from patent documents depends on the subjective experience of experts. However, accumulated patent documents consist of a huge amount of text data, making it more difficult for those experts to gain knowledge precisely and promptly. Therefore, technology trend forecasting using objective methods is more feasible. There are many statistical methods applied to patent analysis, for example, technology overview, investment volume, and the technology life cycle. There are also data mining methods by which patent documents can be classified, such as by technical characteristics, to support business decision-making. The main contribution of this study is to apply data mining methods and social network analysis to gain knowledge in emerging technologies and find informative technology trends from patent data. We experimented with our techniques on data retrieved from the European Patent Office (EPO) website. The technique includes K-means clustering, text mining, and association rule mining methods. The patent data analyzed include the International Patent Classification (IPC) code and patent titles. Association rule mining was applied to find associative relationships among patent data, then combined with social network analysis (SNA) to further analyze technology trends. SNA provided metric measurements to explore the most influential technology as well as visualize data in various network layouts. The results showed emerging technology clusters, their meaningful patterns, and a network structure, and suggested information for the development of technologies and inventions."
Paper_25,Objective To examine the relative impact of three ...,Paper,"Objective To examine the relative impact of three management options in patients aged &lt;60 years with cryptogenic stroke and a patent foramen ovale (PFO): PFO closure plus antiplatelet therapy, antiplatelet therapy alone and anticoagulation alone. Design Systematic review and network meta-analysis (NMA) supported by complementary external evidence. Data sources Medline, EMBASE and Cochrane CENTRAL. Study selection Randomised controlled trials (RCTs) addressing PFO closure and/or medical therapies in patients with PFO and cryptogenic stroke. Review methods We conducted an NMA complemented with external evidence and rated certainty of evidence using the Grading of Recommendations Assessment, Development and Evaluation (GRADE) system. Results Ten RCTs in eight studies proved eligible (n=4416). Seven RCTs (n=3913) addressed PFO closure versus medical therapy. Of these, three (n=1257) addressed PFO closure versus antiplatelet therapy, three (n=2303) addressed PFO closure versus mixed antiplatelet and anticoagulation therapies and one (n=353) addressed PFO closure versus anticoagulation. The remaining three RCTs (n=503) addressed anticoagulant versus antiplatelet therapy. PFO closure versus antiplatelet therapy probably results in substantial reduction in ischaemic stroke recurrence (risk difference per 1000 patients over 5 years (RD): −87, 95% credible interval (CrI) −100 to −33; moderate certainty). Compared with anticoagulation, PFO closure may confer little or no difference in ischaemic stroke recurrence (low certainty) but probably has a lower risk of major bleeding (RD −20, 95% CrI −27 to −2, moderate certainty). Relative to either medical therapy, PFO closure probably increases the risk of persistent atrial fibrillation (RD 18, 95% CI +5 to +56, moderate certainty) and device-related adverse events (RD +36, 95% CI +23 to +50, high certainty). Anticoagulation, compared with antiplatelet therapy, may reduce the risk of ischaemic stroke recurrence (RD −71, 95% CrI −100 to +17, low certainty), but probably increases the risk of major bleeding (RD +12, 95% CrI −5 to +65, moderate certainty). Conclusions In patients aged &lt;60 years, PFO closure probably confers an important reduction in ischaemic stroke recurrence compared with antiplatelet therapy alone but may make no difference compared with anticoagulation. PFO closure incurs a risk of persistent atrial fibrillation and device-related adverse events. Compared with alternatives, anticoagulation probably increases major bleeding. PROSPERO registration number CRD42017081567."
Paper_26,This paper presents an open innovation strategy by...,Paper,"This paper presents an open innovation strategy by identifying the patent impact index and cooperation network through patent analysis for leading companies developing technology in the UAM field. Among companies developing UAM technology, patent analysis was conducted on the leading companies with active patent activities, technology classification was used to match companies by parts, and a technical capability index was utilized to identify the companies. When developing UAM technology in the future, this can help companies seek effective partners to improve competitiveness in technology development. To the best of our knowledge, the work done in this paper is unprecedented, as it suggests methods for patent analysis and verifies them by analyzing the UAM patents with the proposed method."
Paper_27,Knowledge-intensive significantly contribute to te...,Paper,"Knowledge-intensive significantly contribute to technological development. This paper aims to explore technological routes (TR) on high analytics information (HAI) technologies for sake of technological forecasting through social network analysis (SNA) in a patent database from 2001 to 2020. Applying search path link count (SPLC) algorithm, this study provides five different TR in various business sectors. This study support decision makers to find additional core of technologies for their innovation strategies and help researchers in identifying HAI technologies that may still emerge in different industries support strategic R&amp;D decisions about prioritizing investments, identifying partnerships to innovate, and collaborating in public policies based on promoting new HAI technologies development."
Paper_28,Purpose: The study aims to examine China’s rising ...,Paper,"Purpose: The study aims to examine China’s rising technological influence in Africa within the context of Industry 5.0 and how it compares to traditional powers like the European Union (EU) and the United States (US). Design/methodology/approach: Utilising an innovative patent network analysis methodology, this study draws on data from the World Intellectual Property Organization’s (WIPO) Centre for Intellectual Property Statistics from 2001 to 2021. Findings/results: The analysis reveals China’s significant and growing presence in technological diffusion throughout Africa, potentially surpassing regional historical players. Practical implications: These findings have far-reaching implications for policy formulation and management strategies, particularly in a global landscape where technology standards and patents can significantly influence economic and business dynamics. Originality/value: This study contributes to the existing literature by offering a nuanced understanding of power dynamics in African value chains and a new context for relations between developed and developing countries. It emphasises the strategic importance of understanding technological centrality in emerging regions."
Paper_29,Purpose This paper aims to present a methodology b...,Paper,"Purpose This paper aims to present a methodology by which future knowledge flow can be predicted by predicting co-citations of patents within a technology domain using a link prediction algorithm applied to a co-citation network. Design/methodology/approach Several methods and approaches are used: a dynamic analysis of a patent citation network to identify technology life cycle phases, patent co-citation network mapping from the patent citation network and the application of link prediction algorithms to the patent co-citation network. Findings The results of the presented study indicate that future knowledge flow within a technology domain can be predicted by predicting patent co-citations using the preferential attachment link prediction algorithm. Furthermore, they indicate that the patent – co-citations occurring between the end of the growth life cycle phase and the start of the maturation life cycle phase contribute the most to the precision of the knowledge flow prediction. Finally, it is demonstrated that most of the predicted knowledge flow occurs in a time period closely following the application of the link – prediction algorithm. Practical implications By having insight into future potential co-citations of patents, a firm can leverage its existing patent portfolio or asses the acquisition value of patents or the companies owning them. Originality/value It is demonstrated that the flow of knowledge in patent co-citation networks follows a rich get richer intuition. Moreover, it is show that the knowledge contained in younger patents has a greater chance of being cited again. Finally, it is demonstrated that these co-citations can be predicted in the short term when the preferential attachment algorithm is applied to a patent co-citation network."
Paper_30,While the new chapter of quantum technologies is b...,Paper,"While the new chapter of quantum technologies is bringing transformative changes to our society, a quantum ecosystem, which synergises the supportive activities from both social and scientific & technological sides, is acknowledged as a critical force to push the movements. Despite the importance of a quantum ecosystem, current articles barely illustrated its interconnected relations, essential elements and the long-term attributes of developing technologies. We apply the innovation ecosystem and social-technical system theories to bridge such research gaps by realising the patent network analysis. The analytical contents include focal actors, main technological clusters and technological trajectory, and most of them correspond to relevant reports. Particularly, quantum computation is an eye-catching subfield due to its high and intensive knowledge engagements in the past years. Last, we conclude the analytical results and provide two discussions in the discussion & conclusion section as the main contributions. One is to illustrate the long-term attributes and backgrounds of the analytical contents through the lens of the multi-level perspective framework. The other illustrates a path toward a focal actor."
Paper_31,Purpose: In order to explore the multiplicative in...,Paper,"Purpose: In order to explore the multiplicative interaction between clustering and reach, as well as their effect on members' knowledge production and patent value, the authors researched university–industry collaboration networks in the emerging interdisciplinary field at a corporate level.Methodology: The authors based their research on a platform of nano-biopharmaceuticals complex network analysis. Furthermore, they built a network to analyze the influence of small-world properties, as well as the impact of the largest component on the patent value of innovation activities at a corporate level. In this article, the authors conduct an empirical investigation of university–industry patent innovation collaboration in the nano-biopharmaceutical field and propose that their research be considered as new evidence in addition to the previously published literature in this field. Given the pre-existing high skew of patent values in relation to registered patents, they used weighted patent value in the measurement of university–industry innovation performance, rather than simple patent counts.Results: The results show that small-world structures have a parabolical influence on patent innovation performance at corporate level.Findings: The findings go beyond previous research results and can contribute to policy formulation and relevant entrepreneurial decisions in the establishment of university–industry collaboration."
Paper_32,The main area of this paper concerns the neural me...,Paper,"The main area of this paper concerns the neural methods for mapping scientific and technical information (articles, patents) and for assisting a user in carrying out the complex process of analysing large quantities of such information.In the procedure of information analysis, like in the domain of patent analysis, the complexity of the studied topics and the accuracy of the question to be answered may often lead the analyst to partition his reasoning into viewpoints. Most of the classical information analysis tools can only manage an analysis of the studied domain in a global way. The information analysis tool that will be considered in our study is the MultiSOM tool whose core model represents a significant extension of the classical Kohonen SOM neural model. The MultiSOM neural-based tool introduces the concepts of viewpoints and dynamics into the information analysis with its multi-maps displays and its inter-map communication process. The dynamic information exchange between maps can be exploited by an analyst in order to perform cooperative deduction between several different analyzes that have been performed on the same data.The paper demonstrates the efficiency of a viewpoint-oriented-analysis as compared to a global analysis in the domain of patents. Both objective and subjective quality criteria are taken into account for quality evaluation.The experimental context of the paper is constituted by a patent database of 1000 patents related to oil engineering. The patents structure and the patents field semantics are firstly exploited in order to generate different viewpoints corresponding to different areas of interest for the analysts. In the experiment the selected viewpoints correspond to uses, advantages, patentees, and titles subfields of the patents. The indexing vocabulary of each viewpoint is automatically extracted of its related textual contents in the patents through a full text analysis. The resulting vocabulary is then used to rebuild patents descriptions regarding each viewpoint. These descriptions are finally classified through the unsupervised MultiSOM algorithm resulting in as much different maps as viewpoints. A fifth ""global viewpoint"" which represent the combination of all the specific ones is also considered in order to perform our comparison between a global classification mechanism and a pure viewpoint-oriented classification mechanism."
Paper_33,Despite the rapid development of Chinese construct...,Paper,"Despite the rapid development of Chinese construction industry, there has been little research effort directed towards exploring patent cooperative patterns and evolution trends of construction enterprises, especially from the perspective of the patent development network. This paper extracts implicit collaborative information and introduces Social Network Analysis (SNA) method to conduct the patentometric analysis based on patent data from the “Top 500 Chinese Construction Enterprises” sourced from PatSnap database. The enterprise-enterprise networks and enterprise-university networks are analyzed quantitatively. The results reveal that: 1) there is a rising trend in the number of patents and patentees; 2) state-owned enterprises play a dominant role in patent development; 3) most of patents are classified as International Patent Classification E04G21; 4) the cooperative relationships are mainly within enterprises and their subsidiaries; 5) when enterprises choose to cooperate with universities, in addition to professional qualification, geographical factors should also be considered. Finally, the development and patent evolution trends are discussed. Some useful suggestions are proposed. The contribution lies in: (a) providing a visualization of the implicit collaboration information of patents in Chinese construction enterprises; (b) revealing cooperative patterns of construction enterprises on patents; and (c) providing enterprises some useful suggestions for patent cooperation."
Paper_34,Patent documents are an ample source of technical ...,Paper,"Patent documents are an ample source of technical and commercial knowledge and, thus, patent analysis has long been considered a useful vehicle for R&D management and technoeconomic analysis. In terms of techniques for patent analysis, citation analysis has been the most frequently adopted tool. In this research, we note that citation analysis is subject to some crucial drawbacks and propose a network-based analysis, an alternative method for citation analysis. By using an illustrative data set, the overall process of developing patent network is described. The main objective is to understand that the knowledge diffuse between institution and countries. The knowledge diffusion networks are described by using critical node, core network, and network measures analysis .This includes identifying key influential players, the knowledge spillover patterns among them, and the overall knowledge spillover efficiency. The proposed framework is applied to the field of liquid crystal display (LCD), including the patent citation networks of assignee and countries. The analysis shows that the Japan is the most important citation center in LCD research and the LG Phillps LCD, Sharp Samsung, Hitachi, IBM, and AUO are central points of knowledge flow."
Paper_35,Patent analysis has recently been recognized as a ...,Paper,"Patent analysis has recently been recognized as a powerful technique for large companies in the world to lend them insight into the age of competition among various industries. This technique is considered a shortcut for developing countries since it can significantly accelerate their technology development. Therefore, as an inevitable process, patent analysis can be utilized to monitor rival companies and diverse industries. In this research, a graph representation learning approach employed to create, analyze and find similarities of the patents data registered in the Iranian Official Gazette. The patent records were scrapped and wrangled through the Iranian Official Gazette portal. Afterward, the key entities were extracted from the scrapped patents dataset to create the Iranian patents graph from scratch based on novel natural language processing and entity resolution technique. Finally, thanks to the utilization of novel graph algorithms and text mining methods, we identified new areas of industry and research from Iranian patent data, which can be used extensively to prevent duplicate patents, familiarity with similar and connected inventions, Awareness of legal entities supporting patents and knowledge of researchers and linked stakeholders in a particular research field."
