Id,Label,Type
Performed complex network analysis on the patent data.,Performed complex network analysis on the patent data.,Methodology
Construct a network of functions based on co‑occurrence in prior product or system designs.,Construct a network of functions based on co‑occurrence in prior product or system designs.,Methodology
Apply a network analysis algorithm to detect an optimal core‑periphery structure.,Apply a network analysis algorithm to detect an optimal core‑periphery structure.,Methodology
Validate the approach on spherical rolling robots using patent data.,Validate the approach on spherical rolling robots using patent data.,Methodology
Collected patents and scientific publications from 2004–2014.,Collected patents and scientific publications from 2004–2014.,Methodology
Constructed and analyzed co‑authorship and co‑inventorship networks for UIG actors.,Constructed and analyzed co‑authorship and co‑inventorship networks for UIG actors.,Methodology
Performed comparative network analysis of scientific versus technological collaborations.,Performed comparative network analysis of scientific versus technological collaborations.,Methodology
Compiled a USPTO database of patents filed by Latin American inventors.,Compiled a USPTO database of patents filed by Latin American inventors.,Methodology
Constructed collaboration networks for invention and knowledge appropriation and applied network analysis to examine structural properties and evolution.,Constructed collaboration networks for invention and knowledge appropriation and applied network analysis to examine structural properties and evolution.,Methodology
Applied Latent Dirichlet Allocation (LDA) topic modelling to extract themes.,Applied Latent Dirichlet Allocation (LDA) topic modelling to extract themes.,Methodology
Performed social network analysis to compute centrality indices of publication keywords.,Performed social network analysis to compute centrality indices of publication keywords.,Methodology
Conducted keyword co‑occurrence analysis to map sub‑area connections.,Conducted keyword co‑occurrence analysis to map sub‑area connections.,Methodology
"Systematic literature search for RCTs comparing conventional saphenous vein, no‑touch saphenous vein, radial artery, right internal thoracic artery, and gastroepiploic artery.","Systematic literature search for RCTs comparing conventional saphenous vein, no‑touch saphenous vein, radial artery, right internal thoracic artery, and gastroepiploic artery.",Methodology
Primary outcome: graft occlusion; 14 trials with 3651 grafts included; weighted mean angiographic follow‑up of 5.1 years.,Primary outcome: graft occlusion; 14 trials with 3651 grafts included; weighted mean angiographic follow‑up of 5.1 years.,Methodology
Network meta‑analysis performed to calculate incidence rate ratios and rank conduits.,Network meta‑analysis performed to calculate incidence rate ratios and rank conduits.,Methodology
"Use Named Entity Recognition to automatically extract technology terms from scientific papers, policy documents, websites, and company reports.","Use Named Entity Recognition to automatically extract technology terms from scientific papers, policy documents, websites, and company reports.",Methodology
"Retrieve the same terms from a corpus of >300,000 C4ISTAR‑related patents and quantify their co‑occurrences over time.","Retrieve the same terms from a corpus of >300,000 C4ISTAR‑related patents and quantify their co‑occurrences over time.",Methodology
Apply time‑varying network analysis to detect and measure patterns of technological convergence.,Apply time‑varying network analysis to detect and measure patterns of technological convergence.,Methodology
Compile a large European patent‑citation dataset and conduct descriptive network analysis.,Compile a large European patent‑citation dataset and conduct descriptive network analysis.,Methodology
Analyze network structural properties and sector‑level citation patterns.,Analyze network structural properties and sector‑level citation patterns.,Methodology
"Fit Exponential Random Graph Models to the citation network to assess effects of social (homophily, transitivity) and technical attributes.","Fit Exponential Random Graph Models to the citation network to assess effects of social (homophily, transitivity) and technical attributes.",Methodology
Construct an International Patent Classification (IPC) co-occurrence network from IoT patents.,Construct an International Patent Classification (IPC) co-occurrence network from IoT patents.,Methodology
Apply social network analysis (SNA) algorithms to examine the network structure.,Apply social network analysis (SNA) algorithms to examine the network structure.,Methodology
Identify the most critical nodes using SNA centrality measures and the TOPSIS decision‑making method.,Identify the most critical nodes using SNA centrality measures and the TOPSIS decision‑making method.,Methodology
Collected patent titles and IPC codes from the European Patent Office.,Collected patent titles and IPC codes from the European Patent Office.,Methodology
"Performed K‑means clustering, text mining, and association rule mining on the data.","Performed K‑means clustering, text mining, and association rule mining on the data.",Methodology
Integrated association rules with social network analysis to measure influence and visualize technology networks.,Integrated association rules with social network analysis to measure influence and visualize technology networks.,Methodology
"Systematic review and network meta‑analysis of randomised controlled trials (10 RCTs, 4416 participants).","Systematic review and network meta‑analysis of randomised controlled trials (10 RCTs, 4416 participants).",Methodology
Complemented with external evidence and certainty of evidence graded using GRADE.,Complemented with external evidence and certainty of evidence graded using GRADE.,Methodology
Conducted patent analysis on leading UAM companies with active filing activity.,Conducted patent analysis on leading UAM companies with active filing activity.,Methodology
Used technology classification to align firms by component parts.,Used technology classification to align firms by component parts.,Methodology
Created a technical capability index to rank companies and map cooperation networks.,Created a technical capability index to rank companies and map cooperation networks.,Methodology
Conduct Social Network Analysis (SNA) on a patent database covering 2001‑2020.,Conduct Social Network Analysis (SNA) on a patent database covering 2001‑2020.,Methodology
Apply the Search Path Link Count (SPLC) algorithm to identify and map TRs.,Apply the Search Path Link Count (SPLC) algorithm to identify and map TRs.,Methodology
Innovative patent network analysis,Innovative patent network analysis,Methodology
Data sourced from WIPO Centre for Intellectual Property Statistics (2001‑2021),Data sourced from WIPO Centre for Intellectual Property Statistics (2001‑2021),Methodology
Perform dynamic analysis of a patent citation network to identify technology life‑cycle phases.,Perform dynamic analysis of a patent citation network to identify technology life‑cycle phases.,Methodology
Construct a patent co‑citation network derived from the citation data.,Construct a patent co‑citation network derived from the citation data.,Methodology
Apply the preferential attachment link‑prediction algorithm to the co‑citation network.,Apply the preferential attachment link‑prediction algorithm to the co‑citation network.,Methodology
"Patent network analysis to map focal actors, technological clusters, and trajectories.","Patent network analysis to map focal actors, technological clusters, and trajectories.",Methodology
Integration of the multi‑level perspective framework for interpreting long‑term attributes.,Integration of the multi‑level perspective framework for interpreting long‑term attributes.,Methodology
Conducted complex network analysis of nano‑biopharmaceuticals using a weighted patent‑value metric.,Conducted complex network analysis of nano‑biopharmaceuticals using a weighted patent‑value metric.,Methodology
Built and examined a network for small‑world properties and the influence of the largest component on patent value.,Built and examined a network for small‑world properties and the influence of the largest component on patent value.,Methodology
"Extract four specific viewpoints (uses, advantages, patentees, titles) from a database of 1,000 oil‑engineering patents via full‑text vocabulary extraction.","Extract four specific viewpoints (uses, advantages, patentees, titles) from a database of 1,000 oil‑engineering patents via full‑text vocabulary extraction.",Methodology
"Re‑represent each patent according to each viewpoint and classify the resulting descriptions with the unsupervised MultiSOM algorithm, producing separate maps for each viewpoint and a combined global map.","Re‑represent each patent according to each viewpoint and classify the resulting descriptions with the unsupervised MultiSOM algorithm, producing separate maps for each viewpoint and a combined global map.",Methodology
Compare the viewpoint‑oriented classification against the global classification using objective metrics and subjective expert evaluation.,Compare the viewpoint‑oriented classification against the global classification using objective metrics and subjective expert evaluation.,Methodology
Extract implicit collaborative information from patent data of the Top 500 Chinese construction enterprises (PatSnap).,Extract implicit collaborative information from patent data of the Top 500 Chinese construction enterprises (PatSnap).,Methodology
Apply Social Network Analysis (SNA) for patentometric analysis of enterprise‑enterprise and enterprise‑university networks.,Apply Social Network Analysis (SNA) for patentometric analysis of enterprise‑enterprise and enterprise‑university networks.,Methodology
Quantitatively analyze network structures and cooperation characteristics.,Quantitatively analyze network structures and cooperation characteristics.,Methodology
Develop patent citation networks using an illustrative data set.,Develop patent citation networks using an illustrative data set.,Methodology
"Apply network analysis concepts such as critical nodes, core network, and other network measures.","Apply network analysis concepts such as critical nodes, core network, and other network measures.",Methodology
"Identify key influential players, knowledge spillover patterns, and overall spillover efficiency, focusing on the LCD field.","Identify key influential players, knowledge spillover patterns, and overall spillover efficiency, focusing on the LCD field.",Methodology
Scraped and wrangled patent records from the Iranian Official Gazette portal.,Scraped and wrangled patent records from the Iranian Official Gazette portal.,Methodology
Extracted key entities using novel natural language processing and entity‑resolution techniques to build an Iranian patents graph.,Extracted key entities using novel natural language processing and entity‑resolution techniques to build an Iranian patents graph.,Methodology
Applied novel graph algorithms and text‑mining methods to analyze the constructed graph.,Applied novel graph algorithms and text‑mining methods to analyze the constructed graph.,Methodology
"Compiled an original dataset of US inventors’ patent applications at the European Patent Office in drugs, biotechnology, and organic chemistry.","Compiled an original dataset of US inventors’ patent applications at the European Patent Office in drugs, biotechnology, and organic chemistry.",Methodology
Applied the Jaffe et al. (1993) citation‑based measure of knowledge flow combined with social network analysis of co‑invention ties.,Applied the Jaffe et al. (1993) citation‑based measure of knowledge flow combined with social network analysis of co‑invention ties.,Methodology
Controlled for inventors’ mobility and the resulting co‑invention network when estimating the effect of spatial proximity.,Controlled for inventors’ mobility and the resulting co‑invention network when estimating the effect of spatial proximity.,Methodology
Collected US patent citation data to construct a knowledge flow network.,Collected US patent citation data to construct a knowledge flow network.,Methodology
Applied network analysis and centrality measures to identify key actors and group them.,Applied network analysis and centrality measures to identify key actors and group them.,Methodology
Negative binomial regression linking openness characteristics (2004‑2010) to firm patent productivity (2011‑2016).,Negative binomial regression linking openness characteristics (2004‑2010) to firm patent productivity (2011‑2016).,Methodology
Creation of a unique patent database for Florence and application of social network analysis to measure breadth and depth of open innovation.,Creation of a unique patent database for Florence and application of social network analysis to measure breadth and depth of open innovation.,Methodology
Collected patent applicant data filed in Ulsan from 2012 to 2021.,Collected patent applicant data filed in Ulsan from 2012 to 2021.,Methodology
Conducted frequency analysis to identify major applicants and key technologies.,Conducted frequency analysis to identify major applicants and key technologies.,Methodology
Analyzed co‑occurrence patterns of patent applicants over time to examine collaboration trends.,Analyzed co‑occurrence patterns of patent applicants over time to examine collaboration trends.,Methodology
Performed co‑occurrence analysis of terms from Scopus data to map research topics.,Performed co‑occurrence analysis of terms from Scopus data to map research topics.,Methodology
"Conducted patent analysis using Lens database to pinpoint main technological sectors, applicants, and territorial coverage.","Conducted patent analysis using Lens database to pinpoint main technological sectors, applicants, and territorial coverage.",Methodology
"Compiled a database of 101,620 patent families related to LIBs.","Compiled a database of 101,620 patent families related to LIBs.",Methodology
Identified and analyzed the core knowledge trajectory using patent‑based bibliometric techniques.,Identified and analyzed the core knowledge trajectory using patent‑based bibliometric techniques.,Methodology
Systematic review of all randomized controlled trials evaluating the three drugs.,Systematic review of all randomized controlled trials evaluating the three drugs.,Methodology
"Search of Medline, Embase, CENTRAL, and grey literature; independent double screening, data extraction, and risk‑of‑bias assessment.","Search of Medline, Embase, CENTRAL, and grey literature; independent double screening, data extraction, and risk‑of‑bias assessment.",Methodology
"Bayesian network meta‑analysis with subgroup analyses (gestational age, birth weight, dosing, timing, echocardiographic definitions) and GRADE evaluation.","Bayesian network meta‑analysis with subgroup analyses (gestational age, birth weight, dosing, timing, echocardiographic definitions) and GRADE evaluation.",Methodology
Design a network architecture combining mobile edge computing (MEC) and blockchain as independent platforms.,Design a network architecture combining mobile edge computing (MEC) and blockchain as independent platforms.,Methodology
Create a patent cluster map to examine technical intersections and bottleneck periods for leading countries and firms.,Create a patent cluster map to examine technical intersections and bottleneck periods for leading countries and firms.,Methodology
Construct an IPC network topology diagram using global and local node characteristics to reveal technology hotspots and relationships.,Construct an IPC network topology diagram using global and local node characteristics to reveal technology hotspots and relationships.,Methodology
"Collected 14,560 blockchain-related patents from the Derwent Innovations Index.","Collected 14,560 blockchain-related patents from the Derwent Innovations Index.",Methodology
"Applied main path analysis, an objective quantitative network-based method, to the patent network.","Applied main path analysis, an objective quantitative network-based method, to the patent network.",Methodology
Qualitative: Visualized two‑mode networks linking patents and industry codes.,Qualitative: Visualized two‑mode networks linking patents and industry codes.,Methodology
"Quantitative: Performed ANOVA on network centrality indices (e.g., closeness).","Quantitative: Performed ANOVA on network centrality indices (e.g., closeness).",Methodology
Applied social network analysis metrics to inter‑regional technology diffusion networks.,Applied social network analysis metrics to inter‑regional technology diffusion networks.,Methodology
Used Chinese patent licensing data spanning 1998–2013 to construct and evaluate the networks.,Used Chinese patent licensing data spanning 1998–2013 to construct and evaluate the networks.,Methodology
Collect raw patent data for Indian assignees.,Collect raw patent data for Indian assignees.,Methodology
Create a citation network using network analysis techniques analogous to social network analysis.,Create a citation network using network analysis techniques analogous to social network analysis.,Methodology
Collected a set of Google patents for a case study.,Collected a set of Google patents for a case study.,Methodology
Projected the patents onto a semantic space using distributed document representations.,Projected the patents onto a semantic space using distributed document representations.,Methodology
Computed pairwise distances in the semantic space and constructed a network diagram to visualize relationships.,Computed pairwise distances in the semantic space and constructed a network diagram to visualize relationships.,Methodology
Collected AI‑related patent data from the Derwent Innovation Index (DII) database.,Collected AI‑related patent data from the Derwent Innovation Index (DII) database.,Methodology
"Constructed a multi‑level network model using SNA techniques to analyze patent collaborations, market presence, and technology fields from market, technology, and assignee perspectives.","Constructed a multi‑level network model using SNA techniques to analyze patent collaborations, market presence, and technology fields from market, technology, and assignee perspectives.",Methodology
Apply static and dynamic network analysis techniques to primary survey data of inter‑firm relations.,Apply static and dynamic network analysis techniques to primary survey data of inter‑firm relations.,Methodology
Complement the survey with secondary patent data to trace knowledge spillovers across regions.,Complement the survey with secondary patent data to trace knowledge spillovers across regions.,Methodology
Collected drone‑related patent documents and converted them into structured data via text‑mining techniques.,Collected drone‑related patent documents and converted them into structured data via text‑mining techniques.,Methodology
Visualized patent keywords to reveal the technological structure of drones.,Visualized patent keywords to reveal the technological structure of drones.,Methodology
Employed Bayesian additive regression trees to analyze the structured data and construct technology scenarios.,Employed Bayesian additive regression trees to analyze the structured data and construct technology scenarios.,Methodology
Identify key R&D personnel using patent co‑inventor networks and social network analysis.,Identify key R&D personnel using patent co‑inventor networks and social network analysis.,Methodology
Analyze characteristics of application and granted patents to assess current and future R&D efforts.,Analyze characteristics of application and granted patents to assess current and future R&D efforts.,Methodology
Conduct empirical analysis on Samsung Electronics' patent data.,Conduct empirical analysis on Samsung Electronics' patent data.,Methodology
Develop a knowledge complexity index based on the bimodal network models of Hidalgo and Hausmann.,Develop a knowledge complexity index based on the bimodal network models of Hidalgo and Hausmann.,Methodology
Analyze over two million U.S. patent records (1975‑2010) to identify the technological structure of metropolitan areas by patent classes.,Analyze over two million U.S. patent records (1975‑2010) to identify the technological structure of metropolitan areas by patent classes.,Methodology
Use citation data to assess the relationship between complexity and inter‑metropolitan knowledge flows.,Use citation data to assess the relationship between complexity and inter‑metropolitan knowledge flows.,Methodology
Constructed a large‑scale patent coauthorship dataset covering multiple geographic regions.,Constructed a large‑scale patent coauthorship dataset covering multiple geographic regions.,Methodology
Identified regional small‑world patterns and giant component dynamics within the collaboration networks.,Identified regional small‑world patterns and giant component dynamics within the collaboration networks.,Methodology
"Applied statistical models to assess the relationship between network metrics (small‑worldness, path length, component size) and innovation output.","Applied statistical models to assess the relationship between network metrics (small‑worldness, path length, component size) and innovation output.",Methodology
Collected academic patents involved in international technology transfer.,Collected academic patents involved in international technology transfer.,Methodology
Performed technological structure network analysis to map relationships among patents.,Performed technological structure network analysis to map relationships among patents.,Methodology
Developed an academic patent technological hotspot network model.,Developed an academic patent technological hotspot network model.,Methodology
Longitudinal analysis of patent citation networks (2004‑2012) in hydrogen energy and nanotechnology sectors across four developed countries.,Longitudinal analysis of patent citation networks (2004‑2012) in hydrogen energy and nanotechnology sectors across four developed countries.,Methodology
"Systematically retrieved relevant studies from seven databases up to June 2022, screened and extracted data from 47 trials involving 11 Chinese patent medicines.","Systematically retrieved relevant studies from seven databases up to June 2022, screened and extracted data from 47 trials involving 11 Chinese patent medicines.",Methodology
Performed network meta‑analysis with ranking probability analysis and assessed publication bias via funnel plots.,Performed network meta‑analysis with ranking probability analysis and assessed publication bias via funnel plots.,Methodology
"Integrates institutional details, real‑world examples, and theoretical models.","Integrates institutional details, real‑world examples, and theoretical models.",Methodology
"Combines analytical, empirical, and institutional perspectives with a historical overview of innovation‑supporting institutions.","Combines analytical, empirical, and institutional perspectives with a historical overview of innovation‑supporting institutions.",Methodology
Develop a research framework based on social network analysis (SNA).,Develop a research framework based on social network analysis (SNA).,Methodology
Construct and analyze a collaborative innovation network using patent data of green transportation technologies.,Construct and analyze a collaborative innovation network using patent data of green transportation technologies.,Methodology
"Classify innovation entities into business enterprises, individuals, universities, and research institutions.","Classify innovation entities into business enterprises, individuals, universities, and research institutions.",Methodology
Collected firm‑level network data derived from joint patent filings spanning 1980–2015.,Collected firm‑level network data derived from joint patent filings spanning 1980–2015.,Methodology
Performed network analysis to identify patterns of collaboration and homophily effects.,Performed network analysis to identify patterns of collaboration and homophily effects.,Methodology
Applied social network analysis to a patent citation network of JTC1‑related patents.,Applied social network analysis to a patent citation network of JTC1‑related patents.,Methodology
Identified main‑path and brokerage structures within the network.,Identified main‑path and brokerage structures within the network.,Methodology
Analyzed the role of essential patents in both structures.,Analyzed the role of essential patents in both structures.,Methodology
Collected USPTO thin‑film transistor liquid crystal display patents from 2002‑2012.,Collected USPTO thin‑film transistor liquid crystal display patents from 2002‑2012.,Methodology
Applied social network analysis to assess market status and industrial constraints.,Applied social network analysis to assess market status and industrial constraints.,Methodology
Constructed R&D collaboration networks from joint patent‑filing relationships (IPC Green Inventory) of 215 Chinese low‑carbon energy firms.,Constructed R&D collaboration networks from joint patent‑filing relationships (IPC Green Inventory) of 215 Chinese low‑carbon energy firms.,Methodology
Applied negative binomial regression to test the effects of network positions and the moderating effect of network density.,Applied negative binomial regression to test the effects of network positions and the moderating effect of network density.,Methodology
Proposed Bayesian network modeling combined with factor analysis based on probability distributions and graph theory.,Proposed Bayesian network modeling combined with factor analysis based on probability distributions and graph theory.,Methodology
Applied multivariate statistical analysis to patent data.,Applied multivariate statistical analysis to patent data.,Methodology
Conducted a case study that collected and analyzed disaster‑AI‑related patents using the proposed model.,Conducted a case study that collected and analyzed disaster‑AI‑related patents using the proposed model.,Methodology
Applied an enhanced knowledge persistence‑based main‑path analysis to blockchain literature.,Applied an enhanced knowledge persistence‑based main‑path analysis to blockchain literature.,Methodology
Used the knowledge unconventionality metric to detect emerging future directions for sub‑technologies.,Used the knowledge unconventionality metric to detect emerging future directions for sub‑technologies.,Methodology
Segmented the blockchain domain into distinct sub‑technologies for detailed analysis.,Segmented the blockchain domain into distinct sub‑technologies for detailed analysis.,Methodology
Applied a two‑mode network analysis to construct a four‑stage IPC‑code UIC innovation‑technology network.,Applied a two‑mode network analysis to construct a four‑stage IPC‑code UIC innovation‑technology network.,Methodology
"Examined applicant heterogeneity, technology network structure, and technology relevance within the network.","Examined applicant heterogeneity, technology network structure, and technology relevance within the network.",Methodology
Applied social network analysis to patent data to assess collaboration patterns and node importance.,Applied social network analysis to patent data to assess collaboration patterns and node importance.,Methodology
"Collected and classified SOA-related patents, building a network model of technology relationships.","Collected and classified SOA-related patents, building a network model of technology relationships.",Methodology
Performed statistical and patentee analyses to identify dominant technology fields and assess sector involvement.,Performed statistical and patentee analyses to identify dominant technology fields and assess sector involvement.,Methodology
Combined qualitative analysis of secondary sources with quantitative analysis of a patent citation network (1963‑2001).,Combined qualitative analysis of secondary sources with quantitative analysis of a patent citation network (1963‑2001).,Methodology
"Created cumulativeness indicators, applied the Hummon‑Doreian mapping technique, and introduced a knowledge‑persistence measure using genetic inheritance concepts.","Created cumulativeness indicators, applied the Hummon‑Doreian mapping technique, and introduced a knowledge‑persistence measure using genetic inheritance concepts.",Methodology
Collect and clean 5G‑related patents from the USPTO.,Collect and clean 5G‑related patents from the USPTO.,Methodology
"Perform patent overview analysis to identify application trends, technical hot spots, and leading players.","Perform patent overview analysis to identify application trends, technical hot spots, and leading players.",Methodology
Create and analyze an organization‑level citation network.,Create and analyze an organization‑level citation network.,Methodology
Apply O‑I index analysis to examine technology knowledge flow between organizations.,Apply O‑I index analysis to examine technology knowledge flow between organizations.,Methodology
Systematic search of six electronic databases for randomized clinical trials up to 13 August 2021.,Systematic search of six electronic databases for randomized clinical trials up to 13 August 2021.,Methodology
"Performed a network meta‑analysis using Stata 13.1, with quality assessment via the Cochrane risk of bias tool and ranking of treatments by SUCRA values.","Performed a network meta‑analysis using Stata 13.1, with quality assessment via the Cochrane risk of bias tool and ranking of treatments by SUCRA values.",Methodology
Comparative analysis of clinical outcomes in patients with PFO treated with either closure or OAT.,Comparative analysis of clinical outcomes in patients with PFO treated with either closure or OAT.,Methodology
Synthesis of existing trial and registry data to derive effectiveness and adverse‑event rates.,Synthesis of existing trial and registry data to derive effectiveness and adverse‑event rates.,Methodology
Extract relevant smart‑logistics patents by identifying technical keywords from prior literature and industry reports.,Extract relevant smart‑logistics patents by identifying technical keywords from prior literature and industry reports.,Methodology
Conduct a technology prospect analysis to assess the innovation stage of the identified patents.,Conduct a technology prospect analysis to assess the innovation stage of the identified patents.,Methodology
Build an IPC Temporal Network to detect core and converging technologies and to forecast future logistics technologies.,Build an IPC Temporal Network to detect core and converging technologies and to forecast future logistics technologies.,Methodology
"Combine social network analysis with qualitative content analysis to build a relational, dynamic model of discourse.","Combine social network analysis with qualitative content analysis to build a relational, dynamic model of discourse.",Methodology
"Construct networks linking actors and policy claims, allowing analysis at the actor level, claim (content) level, and combined layer.","Construct networks linking actors and policy claims, allowing analysis at the actor level, claim (content) level, and combined layer.",Methodology
Apply the DNA framework to the European‑level software‑patent discourse and contrast findings with political claims analysis.,Apply the DNA framework to the European‑level software‑patent discourse and contrast findings with political claims analysis.,Methodology
Model International Patent Classification (IPC) codes as variables in a Bayesian network.,Model International Patent Classification (IPC) codes as variables in a Bayesian network.,Methodology
Derive technological associations between IPC codes using the network.,Derive technological associations between IPC codes using the network.,Methodology
Validate the approach with patent documents from the BMW motor company.,Validate the approach with patent documents from the BMW motor company.,Methodology
Systematic search of seven electronic databases up to 25 Feb 2020 for randomized controlled trials (RCTs).,Systematic search of seven electronic databases up to 25 Feb 2020 for randomized controlled trials (RCTs).,Methodology
"Independent literature screening, data extraction, and risk‑of‑bias assessment using the Cochrane tool.","Independent literature screening, data extraction, and risk‑of‑bias assessment using the Cochrane tool.",Methodology
Network meta‑analysis performed with STATA 16.0 and ADDIS 1.16.8.,Network meta‑analysis performed with STATA 16.0 and ADDIS 1.16.8.,Methodology
"Systematically searched CNKI, Wanfang, VIP, SinoMed, PubMed, Cochrane Library, and EMBASE for randomized controlled trials up to May 2020; 68 RCTs involving 10 oral Chinese patent medicines were included.","Systematically searched CNKI, Wanfang, VIP, SinoMed, PubMed, Cochrane Library, and EMBASE for randomized controlled trials up to May 2020; 68 RCTs involving 10 oral Chinese patent medicines were included.",Methodology
"Quality of studies assessed per Cochrane recommendations; data analyzed with RevMan, R, and GeMTC software to perform a network meta-analysis.","Quality of studies assessed per Cochrane recommendations; data analyzed with RevMan, R, and GeMTC software to perform a network meta-analysis.",Methodology
"Analyzed a dataset of over 500,000 patented inventions.","Analyzed a dataset of over 500,000 patented inventions.",Methodology
Applied quantile regression to assess effects at different points of the outcome distribution.,Applied quantile regression to assess effects at different points of the outcome distribution.,Methodology
Conducted mediation analysis for technical experience diversity and external collaboration network size.,Conducted mediation analysis for technical experience diversity and external collaboration network size.,Methodology
